name_key,name,base_wrc_vs_r,base_wrc_vs_l
jonny deluca,Jonny DeLuca,84.5357942,90.6267699
jadher areinamo,Jadher Areinamo,79.4714632,85.9958713
skyler messinger,Skyler Messinger,44.0063847,50.3182955
frederick bencosme,Frederick Bencosme,75.7795223,49.5693078
edouard julien,Edouard Julien,100.599744,70.4060188
jaron elkins,Jaron Elkins,38.4162408,45.1094343
alex mooney,Alex Mooney,52.9926936,59.7138849
eli serranoi,Eli SerranoI,61.8478176,34.8592412
vito friscia,Vito Friscia,82.1255113,90.2297094
jonathon long,Jonathon Long,100.651381,108.922168
ralphy velazquez,Ralphy Velazquez,96.8913898,64.7549511
engelth urena,Engelth Urena,41.3294977,46.7556697
gionti turner,Gionti Turner,48.7768971,54.8064396
darius perry,Darius Perry,15.8870232,22.6297113
alvaro matos,Alvaro Matos,1.96945759,-17.974309
juneiker caceres,Juneiker Caceres,57.0870793,32.1767317
corey collins,Corey Collins,48.4021881,21.8786124
leo jimenez,Leo Jimenez,91.3804321,95.6644431
drew romo,Drew Romo,71.6869774,76.5253444
daiverson gutierrez,Daiverson Gutierrez,41.5186953,46.2120763
nick dalesandro,Nick Dalesandro,50.7849847,58.054184
hunter renfroe,Hunter Renfroe,89.5528423,100.805812
alexander albertus,Alexander Albertus,46.1929814,53.1007173
bo davidson,Bo Davidson,101.456947,70.4098598
wyatt young,Wyatt Young,77.1599358,52.9359385
torin montgomery,Torin Montgomery,52.6167974,59.5144218
felix cotes,Felix Cotes,13.4625947,14.3789352
anderson fermin,Anderson Fermin,20.6517887,20.7364252
tyler austin,Tyler Austin,102.494311,112.254152
miguel welch,Miguel Welch,23.2588056,4.92857652
landon wallace,Landon Wallace,65.9920905,73.7826903
diego castillo,Diego Castillo,77.3686048,88.6447114
matt carpenter,Matt Carpenter,84.8923167,60.1726182
oliver tejada,Oliver Tejada,17.8684424,22.9852682
angel rodriguez,Angel Rodriguez,3.92756435,8.719003
jack larsen,Jack Larsen,82.0583602,51.807934
narciso polanco,Narciso Polanco,43.873939,22.9021147
jamie ritchie,Jamie Ritchie,76.677828,84.5619651
gregori arias,Gregori Arias,1.06234426,1.97371065
jacob jenkinscowart,Jacob Jenkins-Cowart,42.1399774,18.1201339
nico hoerner,Nico Hoerner,105.772461,111.876549
brenden dixon,Brenden Dixon,59.3803693,67.7239946
jorge soler,Jorge Soler,101.575474,116.889568
francisco garcia,Francisco Garcia,19.2766876,24.3732197
victor rodrigues,Victor Rodrigues,52.3095541,58.1550247
cristofer lebron,Cristofer Lebron,11.7057841,16.8856553
devin mann,Devin Mann,75.1822968,83.2188355
leni done,Leni Done,11.6421549,16.4403748
dayker baldallo,Dayker Baldallo,5.3578432,-10.287987
arlenn manzanillo,Arlenn Manzanillo,-1.5522381,-1.2109645
jerar encarnacion,Jerar Encarnacion,89.1286262,99.6571317
brandon winokur,Brandon Winokur,47.3814008,53.6828765
