name,fld,bsr
Tyler Callihan,-0.0002553,0.00988232
Bo Naylor,-0.0043136,-0.004464
LaMonte Wade,-0.0058297,0.00064978
Victor Scott,0.02946116,0.01048932
Eli White,0.03304688,0.01126458
Amed Rosario,-0.0717639,5.52e-05
LuJames Groover,-0.0031328,-0.0087986
Cody Freeman,-0.0134714,-0.0046703
Weston Wilson,-0.0378374,-0.0018994
Myles Straw,0.02783763,0.0035087
Hao-Yu Lee,-0.0125298,0.00134742
Royce Lewis,-0.0138684,0.01044482
James Outman,0.00014757,0.00406646
Jorge Barrosa,0.06843188,-0.0050593
Buddy Kennedy,0.03708083,-0.0065682
Harrison Bader,0.00674387,-0.0025995
Jake Fraley,-0.0099755,0.01088838
Moises Ballesteros,-0.0019179,-0.0059874
Heriberto Hernandez,-0.0275909,-0.0005696
Esmerlyn Valdez,-0.019881,-0.0075875
Drew Millas,-0.0178724,-0.0008757
Bryce Teodosio,0.07290368,0.01414632
Logan Porter,-0.0118572,-0.002756
Donovan Walton,0.01640186,-0.0060795
Isaac Collins,-0.0227233,-0.0099493
Edmundo Sosa,0.02770344,0.0048009
Starling Marte,0.02219597,-0.0043501
Elias Diaz,-0.0411464,-0.0031349
David Fry,-0.0201,-0.0017339
Ramon Urias,-0.017365,-0.0067605
Denzel Clarke,0.046415,0.01198041
Christian Koss,0.03782696,-0.0035018
Will Wilson,0.04933268,-0.0040814
Drew Gilbert,-0.0334461,-0.0048341
Josh Rojas,-0.0033546,0.00283678
Tyler Heineman,0.07462296,-0.0018367
Cesar Salazar,0.00522479,-0.0044498
Tanner Murray,0.03746844,-0.005352
Henry Davis,-0.0185021,-0.0002371
Orlando Arcia,0.01188658,-0.0127338
Enrique Hernandez,-0.0369046,-0.0055206
Zach Cole,0.01024447,0.00189253
Matt Vierling,-0.0418442,-0.0077579
Eric Wagaman,0.00014559,-0.00572
Yohendrick Pinango,-0.0237467,-0.0027494
Michael Helman,0.01246952,0.00689784
Vidal Brujan,0.04873491,-0.0173279
Bryce Johnson,0.03054429,0.00991409
Maverick Handley,0.02505459,-0.0071812
Dylan Carlson,0.01523852,-0.0043032
Alika Williams,0.04953735,-0.0132936
Jacob Gonzalez,0.00884531,0.0005447
Stuart Fairchild,0.00898396,0.00944498
Steward Berroa,0.07952926,0.01435381
Luis Matos,0.0199831,0.00552
Tommy Troy,-0.0008122,-0.0004956
Sam Haggerty,0.02356011,0.01300301
Daniel Johnson,0.0182769,-0.0011245
Connor Joe,-0.0040131,0.00086738
Austin Hays,-0.0265374,-0.0064762
Matt Wallner,-0.054646,-0.009095
P.J. Higgins,-0.0041404,-0.007137
Braden Shewmake,-0.0049923,0.00533512
Edwin Arroyo,-0.0074992,-0.0096917
Owen Caissie,-0.0561174,0.0010106
Rikuu Nishida,0.0586,0.00026484
Lourdes Gurriel,-0.0243641,0.00084149
Carson Williams,0.00605589,-0.0042763
Jose Trevino,0.05718633,-0.0029237
Nasim Nunez,0.01144489,0.04198723
MJ Melendez,-0.0091285,-0.0108882
Nick Yorke,0.00872485,-0.0030532
Juan Brito,-0.0363889,-0.0100641
Randal Grichuk,-0.0269172,-0.0033446
Petey Halpin,0.02238183,0.00706263
Garrett Stubbs,0.00532408,-0.005957
Freddy Fermin,0.0218589,-0.0091401
Josh Lowe,0.00293878,0.00982595
Marcelo Mayer,-0.004144,0.00173805
Edgar Quero,-0.0298895,-0.0040931
Scott Kingery,0.00303171,0.01398517
Nelson Velazquez,-0.0106212,-0.0045812
Santiago Espinal,0.01971011,-0.0018148
Yoan Moncada,-0.0662846,-0.0007415
Jase Bowen,-0.0074832,0.00371919
Pavin Smith,0.00747266,-0.0029266
Javier Baez,-0.0489682,-0.0015814
Graham Pauley,0.03316263,-0.0033885
Collin Price,-0.0441325,-0.0022268
Nick Loftin,-0.0867737,-0.00288
Jerar Encarnacion,0.00860903,-0.0023101
TJ Friedl,-0.0122022,0.01010258
Reese McGuire,-0.0102838,-0.0017974
Chad Stevens,-0.0009392,-0.0034907
Braxton Fulford,0.01779613,0.00487974
Jorge Polanco,-0.0279276,-0.00488
Nick Morabito,-0.009955,0.00060961
Hayden Senger,0.02939574,-0.00522
Austin Slater,0.02541437,0.00168683
Josh Bell,-0.0062341,-0.0056655
Thomas Saggese,0.0085911,-0.0118808
Jo Adell,-0.0374178,0.00038919
Luke Williams,0.00825219,0.01996462
Aramis Garcia,0.00951116,-0.001316
Nicky Lopez,0.00993339,-0.0086469
James McCann,-0.0033701,-0.0017063
Deyvison De Los Santos,0.03310774,-0.0032732
Cesar Prieto,-0.0333059,-0.0159775
Kyle Farmer,-0.0111177,-0.0078988
Luken Baker,-0.0026306,-0.0042908
Luisangel Acuna,0.00105369,0.02384492
Lawrence Butler,0.00137705,0.0008804
Dylan Moore,-0.0345199,0.0109025
George Valera,-0.0419848,-0.0059134
Anthony Seigler,-0.0891471,0.00780162
Zach Dezenzo,-0.0369341,-0.000533
Rece Hinds,-0.0266426,0.00141522
Jim Jarvis,-0.0110705,-0.0048748
Andrew Benintendi,-0.0375244,-0.0010394
Zach McKinstry,0.01958821,-0.00861
Marcell Ozuna,0.0,-0.0053071
Ha-Seong Kim,-0.038386,0.01013056
Billy Cook,-0.0115419,0.00641
Omar Martinez,-0.0678284,-0.00584
Eloy Jimenez,-0.0200855,-0.00317
Jhostynxon Garcia,-0.0251685,-0.00186
Tyler O'Neill,-0.0347083,0.00150583
Will Brennan,-0.0010518,-0.00685
Kevin Alcantara,-0.0066671,-0.0107483
Adam Frazier,-0.0299622,-0.0051066
Andruw Monasterio,-0.0672212,-0.0169
Jorge Soler,-0.0429689,-0.0047
Leo Jimenez,-0.0341839,-0.0026434
Tommy Pham,-0.0178466,0.00031565
Yohel Pozo,-0.0228385,-0.0046849
Jahmai Jones,0.0151715,-0.0119857
Jose Tena,-0.0098623,-0.00242
Ke'Bryan Hayes,0.05676909,0.00235966
Sterlin Thompson,-0.0084636,-0.0052793
Andy Ibanez,-0.0138226,-0.00186
Rafael Marchan,0.06615891,-0.0031702
Andrew McCutchen,0.00235715,-0.00525
Chadwick Tromp,-0.0189378,-0.00138
Noelvi Marte,-0.0332638,-0.0047002
Luis Rengifo,-0.0059268,-0.0061292
Miguel Andujar,-0.0477595,-0.0080234
Tim Tawa,0.02585957,-0.0157412
Gage Workman,-0.0759684,-0.0008956
Jeimer Candelario,-0.0744992,-0.0068543
Jarred Kelenic,-0.0539488,-0.0055721
Victor Bericoto,-0.0340397,-0.0161001
Salvador Perez,-0.0389491,-0.0042667
Brett Sullivan,-0.0253498,-0.0035413
Carlos Santana,0.00107733,0.00123734
Patrick Wisdom,-0.0085102,-0.0014
Otto Kemp,-0.07751,-0.00576
Mark Vientos,-0.0435156,-0.0031471
Austin Wynns,0.02248766,-0.0027347
Adrian Del Castillo,0.00188522,-0.0028961
Blake Perkins,0.0112399,0.00329364
Edouard Julien,-0.0620615,-0.0102878
Jordan Beck,-0.0159238,-0.0006532
Tyrone Taylor,-0.0173126,-0.0031619
Felix Reyes,-0.0133526,-0.0021393
Greg Jones,0.01380051,0.01646621
Sebastian Rivero,-0.0171,-0.0041019
Wenceel Perez,-0.0353221,0.00068213
Sandy Leon,0.00501,-0.0004008
Christopher Morel,-0.0411884,-0.0021432
Jose Fernandez,-0.0177747,0.00245865
Rob Refsnyder,-0.0223053,-0.0019201
Lenyn Sosa,-0.0359148,-0.0048723
Nick Castellanos,-0.0804151,0.00337008
