season,lg,rnd,home_team,home_odds,away_team,away_odds,winner,score,ph,pa,mkt_home,vig,home_won
2022,NL,LDS,Atlanta Braves (2),-200,Philadelphia Phillies (WC3),170,Philadelphia Phillies,3-1,0.6666666666666666,0.37037037037037035,0.6428571428571429,0.03703703703703698,0
2022,AL,WCS,Cleveland Guardians (3),-125,Tampa Bay Rays (WC3),105,Cleveland Guardians,2-0,0.5555555555555556,0.4878048780487805,0.5324675324675325,0.04336043360433606,1
2022,AL,WCS,Toronto Blue Jays (WC1),-150,Seattle Mariners (WC2),130,Seattle Mariners,2-0,0.6,0.43478260869565216,0.5798319327731092,0.034782608695652195,0
2022,NL,WCS,St Louis Cardinals (3),-130,Philadelphia Phillies (WC3),110,Philadelphia Phillies,2-0,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,0
2022,NL,WCS,New York Mets (WC1),-170,San Diego Padres (WC2),150,San Diego Padres,2-1,0.6296296296296297,0.4,0.6115107913669064,0.029629629629629672,0
2023,,WS,Texas Rangers (WC2),-165,Arizona Diamondbacks (WC3),145,Texas Rangers,4-1,0.6226415094339622,0.40816326530612246,0.6040343668285393,0.030804774740084806,1
2023,AL,LCS,Houston Astros (2),-140,Texas Rangers (WC2),120,Texas Rangers,4-3,0.5833333333333334,0.45454545454545453,0.562043795620438,0.037878787878787845,0
2023,NL,LCS,Philadelphia Phillies (WC1),-185,Arizona Diamondbacks (WC3),165,Arizona Diamondbacks,4-3,0.6491228070175439,0.37735849056603776,0.6323766526926797,0.026481297583581753,0
2023,AL,LDS,Baltimore Orioles (1),-110,Texas Rangers (WC2),-110,Texas Rangers,3-0,0.5238095238095238,0.5238095238095238,0.5,0.04761904761904767,0
2023,AL,LDS,Houston Astros (2),-160,Minnesota Twins (3),140,Houston Astros,3-1,0.6153846153846154,0.4166666666666667,0.5962732919254659,0.03205128205128216,1
2023,NL,LDS,Atlanta Braves (1),-190,Philadelphia Phillies (WC1),160,Philadelphia Phillies,3-1,0.6551724137931034,0.38461538461538464,0.6301020408163266,0.039787798408488007,0
2023,NL,LDS,Los Angeles Dodgers (2),-240,Arizona Diamondbacks (WC3),190,Arizona Diamondbacks,3-0,0.7058823529411765,0.3448275862068966,0.6718146718146719,0.05070993914807298,0
