name,team,pa,power,eye,barrel,hh,osw,zsw,swstr,zone,heart_rv,shadow_rv,chase_rv,waste_rv
Osleivis Basabe,,132,16.7,1.75,7.3,33.0,34.2,58.8,11.0,48.0,-5.404517776071921,-3.8935831926450293,-0.24012384726903546,3.1876627231732497
James Wood,,589,41.24,14.21,19.7,58.4,21.4,56.7,11.2,45.6,6.26588669285054,-16.975364613255042,24.68530484371148,14.244790848279152
Shohei Ohtani,,596,33.95,11.18,15.8,51.5,30.0,66.2,14.7,45.8,-7.8857951550139305,5.853318807486827,14.382979404153323,14.645245631491196
Daniel Johnson,,17,12.96,17.65,0.0,45.5,28.1,66.7,9.4,39.6,-1.3391012056157907,-1.0421988200975094,0.9072145339641082,0.14839258594974963
Carlos Cortes,,362,16.11,6.24,6.0,35.4,27.4,65.8,10.2,48.7,-14.22685700172725,-9.435148968099377,10.820197538596284,8.220174692284658
Ramón Laureano,,206,28.16,8.73,14.3,41.2,32.7,70.9,15.7,46.6,-4.343972982086624,-7.000867090858079,4.306339494405722,4.099538782626337
Yohandy Morales,,34,34.34,12.86,12.5,62.5,36.4,72.4,19.3,43.0,-0.6321604985809409,-0.5153777578892806,3.3105130246614545,0.16752041807831547
Christian Moore,,118,17.87,5.09,7.1,36.6,31.0,71.3,16.8,49.9,-8.811090470024844,-4.911297977308283,0.14481809456108719,2.3672230124972726
JJ Wetherholt,,593,21.54,7.92,7.5,44.8,21.3,62.8,8.5,49.6,-20.590134119537048,-14.072002062519452,21.636461432002946,14.650116025194173
Zach Cole,,53,34.43,5.51,16.7,50.0,28.2,60.5,19.2,49.8,-1.8505623663725748,-2.9940298080522254,0.7519246704831231,0.7763965657338542
Jacob Wilson,,337,8.93,-0.86,2.5,27.6,42.3,70.5,8.3,48.2,-1.331484555471979,-8.969687730804065,6.620720282732932,1.1399197193939863
Tommy Edman,,303,13.87,6.97,4.9,33.0,30.8,64.1,10.5,46.8,-3.5441125517435994,-8.858796391967326,6.719897965158851,8.55979832948562
Luis Torrens,,268,18.33,5.49,5.9,41.4,32.9,65.4,10.3,47.1,-0.2900602661412887,-13.617423775131563,5.147008796358141,5.890967554640894
Mickey Gasper,,210,21.88,8.98,10.1,37.8,21.0,58.6,6.6,47.6,-2.1322028423713646,-0.9707915157812883,8.591322672684802,4.4591181100089425
Gabriel Arias,,147,23.91,9.04,10.1,43.0,38.4,69.1,24.1,45.6,3.5006518083384472,-10.789157585137982,0.3875876560635996,1.9651776582626925
Jakob Marsee,,588,13.31,7.3,3.7,35.2,22.2,59.8,7.3,49.0,-15.591961227450163,-16.164259725580923,21.515246986889437,11.93875558184285
Jared Serna,,16,30.42,3.41,10.0,60.0,36.4,67.8,15.6,48.4,0.334324957132951,-1.257074362912808,0.15053381969172447,0.0851020871249998
Deyvison De Los Santos,,20,10.93,3.96,6.7,20.0,46.9,57.2,14.3,41.7,-1.04208509973561,-0.3119673415184143,0.013254469133201344,0.13367469200556653
Sean Murphy,,100,18.97,3.02,8.2,36.1,37.0,66.3,16.9,48.5,-0.18873726735111696,-5.763289756871046,0.9330223928620123,0.5970338496990633
Sean Keys,,48,27.27,4.78,7.1,60.7,35.1,67.7,16.0,47.9,-3.3829263123860205,-0.6417396532543571,0.7346856270943194,0.7701052989682036
Mark Vientos,,277,24.89,7.92,10.4,44.6,34.8,74.8,16.7,47.0,-7.75671869555169,-5.1471593250218,3.217661007918601,3.8342990662549705
Nick Solak,,10,29.47,-8.31,12.5,50.0,36.4,58.2,0.0,52.2,-0.09573873782155057,-1.4403787150170864,0.11006105686181175,0.544338992214349
Daz Cameron,,25,19.16,-2.52,11.1,27.8,30.2,69.3,11.6,54.7,-0.05282223064310239,-2.004420412181195,0.2595410987110934,0.11908247193760758
Brett Callahan,,63,25.4,1.95,11.4,42.9,40.5,80.3,16.7,50.0,-0.8131371821103526,-0.5154887249994538,-0.143030914187208,0.8946707088332568
Eduardo Valencia,,110,33.41,1.81,16.9,46.8,35.4,72.5,14.1,50.7,3.062353157678431,1.1220715979887326,2.3447663803728744,1.694345694380343
Carson Williams,,40,9.3,4.09,4.0,24.0,39.7,76.7,19.0,48.6,-1.9824214526596404,-3.872896656289464,0.08780773751611212,0.6171649759553771
George Lombard Jr.,,138,16.58,5.13,6.6,34.8,26.8,64.3,10.9,49.6,1.7005520809582433,-9.314579360776964,1.5433598702595843,2.0883773706779363
Tim Tawa,,318,24.73,8.08,10.4,44.2,32.2,67.8,13.8,46.6,-0.4961118763993984,-11.663803781458128,5.5249193627450675,5.26427339058803
Dylan Beavers,,336,18.07,6.29,7.0,37.4,24.2,60.2,10.5,49.4,-4.443167480170899,-13.464295938688435,11.20073599522013,5.758295877723926
Alec Burleson,,645,27.86,8.4,11.1,50.1,37.7,71.7,11.9,45.0,-6.3916989799836585,-5.445467865139205,18.505266157072562,11.811273114072483
Austin Wynns,,89,9.53,-2.42,3.3,26.7,40.5,68.1,13.0,50.3,-4.774538100343651,-4.459548767168571,-0.21155069179810748,-0.33664430972337445
Brandon Lockridge,,111,9.63,1.37,1.5,32.4,31.9,58.6,13.2,49.8,-3.019274318015817,-1.2169837856384533,1.9340106994954085,1.3207061304998244
Luke Keaschall,,589,10.38,8.37,3.3,28.9,22.6,63.7,7.2,48.7,-17.66696690120854,-3.888765162296282,19.241555030907573,15.587512474687191
Josh Smith,,223,15.26,2.74,6.8,30.8,34.1,61.0,11.7,47.9,-8.301903025120122,-5.445025212050325,4.501138352545503,3.380167817868107
Jose Altuve,,537,12.66,6.32,4.4,31.4,36.5,63.7,10.6,44.9,-2.8746138867770354,-17.010952636780495,7.753824936196838,8.010479251406739
Caleb Durbin,,558,8.66,3.99,2.9,25.7,27.8,64.5,7.5,49.8,-16.965274316889964,-9.074708641050922,18.371504439466694,11.510424153596235
Nick Sogard,,244,12.86,8.13,5.4,28.9,23.4,56.8,8.0,47.0,-7.686273731816612,-2.1251255063219343,7.38222621196844,4.2534088546353725
Braxton Fulford,,83,17.13,14.59,7.3,34.1,27.9,66.8,15.5,43.4,-3.9543487218052604,-5.5415882014399545,2.7864057493810708,2.728220435815737
Jake Meyers,,153,13.54,4.56,6.3,27.9,32.6,72.7,11.4,48.9,-4.639836532955703,-4.556865286208572,2.0144996714834535,2.0955215771633466
Carlos Correa,,141,23.44,8.0,10.3,41.2,32.0,61.1,10.3,44.7,-3.01631648021223,-0.4023316474277032,3.655204650792698,2.448603695457248
Ali Sánchez,,81,10.43,1.4,3.7,27.8,34.0,65.3,11.2,49.5,-0.7236968256059708,-4.0464058446647,-0.03344945074886024,1.2638436161330384
Carson Benge,,617,18.97,4.89,7.3,38.8,27.9,63.4,9.8,49.9,-2.2080702983741576,-17.92954975609765,18.67353971065027,10.94203885288131
César Salazar,,22,8.21,11.85,0.0,33.3,27.8,65.8,6.3,43.2,-2.799838516651601,-0.8470449489522656,0.88984539948521,0.6612227975001111
Sam Haggerty,,47,-2.01,0.58,0.0,7.1,33.8,70.1,16.8,52.1,-3.415815953162214,-4.129406227104302,0.20095830389690572,1.4866078476373379
Ozzie Albies,,653,10.82,10.16,4.0,27.9,38.4,79.2,11.7,44.1,-8.766175101628695,-23.984735004482697,12.53961107986649,13.080799746706512
Dane Myers,,319,15.04,6.89,4.6,36.9,25.6,62.1,9.1,48.2,-13.228138376153643,2.9761681375497453,10.035319557382216,7.654214326162471
