Team,Position,PlayerID,Player,,,,Workload
Astros,RP,687911,Bryan King,8,6,Astros 6,FALSE
Astros,RP,805123,AJ Blubaugh,8,7,Astros 7,FALSE
Astros,RP,664299,Cristian Javier,8,8,Astros 8,FALSE
Royals,RP,656638,Alex Lange,8,1,Royals 1,FALSE
Royals,RP,663738,Daniel Lynch,8,2,Royals 2,FALSE
Royals,RP,674444,Steven Cruz,8,3,Royals 3,TRUE
Royals,RP,670167,John Schreiber,8,4,Royals 4,FALSE
Royals,RP,621381,Matt Strahm,8,5,Royals 5,FALSE
Royals,RP,668674,Lucas Erceg,8,6,Royals 6,FALSE
Royals,RP,663878,Nate Pearson,8,7,Royals 7,FALSE
Royals,RP,668834,Easton McGee,8,8,Royals 8,FALSE
Angels,RP,666171,Ryan Zeferjahn,8,1,Angels 1,FALSE
Angels,RP,696147,Sam Bachman,8,2,Angels 2,FALSE
Angels,RP,489446,Kirby Yates,8,3,Angels 3,TRUE
Angels,RP,696519,Samy Natera,8,4,Angels 4,FALSE
Angels,RP,608718,Brent Suter,8,5,Angels 5,TRUE
Angels,RP,820862,Jose Fermin,8,6,Angels 6,FALSE
Angels,RP,815083,Mitch Farris,8,7,Angels 7,TRUE
Dodgers,RP,621242,Edwin Diaz,8,1,Dodgers 1,FALSE
Dodgers,RP,656945,Tanner Scott,8,2,Dodgers 2,FALSE
Dodgers,RP,623465,Evan Phillips,8,3,Dodgers 3,FALSE
Dodgers,RP,681911,Alex Vesia,8,4,Dodgers 4,TRUE
Dodgers,RP,592779,Brock Stewart,8,5,Dodgers 5,FALSE
Dodgers,RP,694361,Will Klein,8,6,Dodgers 6,FALSE
Dodgers,RP,683618,Edgardo Henriquez,8,7,Dodgers 7,FALSE
Dodgers,RP,676263,Jack Dreyer,8,8,Dodgers 8,FALSE
Marlins,RP,664126,Pete Fairbanks,8,1,Marlins 1,TRUE
Marlins,RP,676534,Calvin Faucher,8,2,Marlins 2,FALSE
Marlins,RP,656848,Michael Petersen,8,3,Marlins 3,FALSE
Marlins,RP,667463,John King,8,4,Marlins 4,FALSE
Marlins,RP,806188,Cade Gibson,8,5,Marlins 5,FALSE
Marlins,RP,669199,Lake Bachar,8,6,Marlins 6,FALSE
Marlins,RP,676604,Tyler Zuber,8,7,Marlins 7,TRUE
Marlins,RP,690978,Dax Fulton,8,8,Marlins 8,TRUE
Brewers,RP,656730,Trevor Megill,8,1,Brewers 1,FALSE
Brewers,RP,682842,Abner Uribe,8,2,Brewers 2,FALSE
Brewers,RP,676879,Aaron Ashby,8,3,Brewers 3,TRUE
Brewers,RP,681982,Grant Anderson,8,4,Brewers 4,FALSE
Brewers,RP,694477,Chad Patrick,8,5,Brewers 5,TRUE
Brewers,RP,684974,Craig Yoho,8,6,Brewers 6,FALSE
Brewers,RP,669060,Bryse Wilson,8,7,Brewers 7,TRUE
Twins,RP,672782,Yoendrys Gomez,8,1,Twins 1,FALSE
Twins,RP,702193,Andrew Morris,8,2,Twins 2,FALSE
Twins,RP,667297,Tommy Nance,8,3,Twins 3,FALSE
Twins,RP,701519,Travis Adams,8,4,Twins 4,FALSE
Twins,RP,573124,Taylor Rogers,8,5,Twins 5,FALSE
Twins,RP,681892,Kody Funderburk,8,6,Twins 6,FALSE
Twins,RP,681252,Jack Anderson,8,7,Twins 7,FALSE
Twins,RP,696070,Kendry Rojas,8,8,Twins 8,FALSE
Mets,RP,642207,Devin Williams,8,1,Mets 1,FALSE
Mets,RP,596133,Luke Weaver,8,2,Mets 2,FALSE
Mets,RP,548384,Brooks Raley,8,3,Mets 3,FALSE
Mets,RP,623211,Huascar Brazoban,8,4,Mets 4,FALSE
Mets,RP,621345,A.J. Minter,8,5,Mets 5,FALSE
Mets,RP,672335,Cionel Perez,8,6,Mets 6,FALSE
Mets,RP,650960,Daniel Duarte,8,7,Mets 7,TRUE
Mets,RP,673540,Kodai Senga,8,8,Mets 8,FALSE
Yankees,RP,670280,David Bednar,8,1,Yankees 1,FALSE
Yankees,RP,518585,Fernando Cruz,8,2,Yankees 2,FALSE
