Player,Damage,Damage_Grade,Eye,Eye_Grade,FLD_150,FLD_Grade,BSR_150,BSR_Grade
Jeff McNeil,11.8,D+,11.5,C+,-4.1,C-,-2,D+
Jeremiah Jackson,20.1,C+,11.1,C,-1.2,C,-1.1,C
Jeremy Pena,14.9,C-,10.4,C,-0.5,C+,3.6,A
Jesus Sanchez,24.1,B-,6.4,D,-9.9,D,-1.3,C-
Jhonny Pereda,18.8,C+,,,,,,
Jo Adell,21.5,C+,8.8,C-,-6,D+,0.1,B-
Joc Pederson,25,B,12.7,C+,-0.7,C+,-0.7,C
Joe Mack,21.1,C+,15,B,10.2,A,-0.5,C+
Joey Bart,20.1,C+,,,-4.4,C-,-1,C
Joey Loperfido,18.9,C+,,,8.7,A-,0.2,B-
Joey Ortiz,16.2,C,9.4,C-,10,A,-2.1,D+
Joey Wiemer,,,,,3.9,B,2.5,B+
Jonah Heim,16.2,C,,,-2.7,C,-0.3,C+
Jonathan Aranda,23.7,B-,14.8,B,-0.8,C,-2.1,D+
Jonathan India,,,,,-9.2,D,0.6,B-
Jonny DeLuca,13.8,C-,,,6.4,B+,2.6,A-
Jorbit Vivas,11.8,D+,15.3,B,2.4,B-,-1,C
Jordan Beck,14.5,C-,,,0.2,C+,0.9,B
Jordan Walker,29.4,B+,11.3,C,-4.1,C-,0.1,B-
Jorge Barrosa,17.5,C,,,,,,
Jorge Mateo,21.1,C+,,,6.1,B+,5,A+
Jorge Polanco,15.9,C,,,-3.6,C-,-1.2,C-
Jorge Soler,22.7,B-,15.9,B+,-5.3,C-,-2.1,D+
Jose Altuve,17.9,C,9.5,C-,-11,D,-1.8,D+
Jose Caballero,13,C-,3.4,D-,-3,C,2.7,A-
Jose Fermin,13.2,C-,11.4,C,-8.3,D+,1.3,B
Jose Fernandez,17.8,C,,,2.5,B-,1.1,B
Jose Ramirez,20.2,C+,10.1,C,8.9,A-,6.9,A+
Jose Siri,21.8,C+,,,3.8,B,-1,C
Jose Tena,24.3,B-,10.9,C,-1.6,C,1.4,B
Jose Trevino,15.8,C,,,8.7,A-,-1.5,C-
Josh Bell,24.1,B-,14.5,B,-0.7,C+,-1.5,C-
Josh Jung,19.9,C+,13.2,B-,-2.3,C,-2.1,D+
Josh Lowe,20.3,C+,7.2,D+,2.5,B-,1.7,B+
Josh Naylor,16,C,10.9,C,-2,C,0.2,B-
Josh Smith,16.8,C,,,-10.8,D,-1,C
Juan Soto,29.7,B+,21,A,-5.2,C-,-0.6,C
Julio Rodriguez,23,B-,7.5,D+,-1.8,C,1.4,B
Jung Hoo Lee,11,D+,9.4,C-,-5.4,C-,0.5,B-
Junior Caminero,30.6,A-,7.5,D+,-9.7,D,-1.5,C-
Justin Crawford,11.4,D+,8.7,C-,-5.4,C-,2,B+
Justin Foscue,23.5,B-,,,0.4,C+,-0.4,C+
Kazuma Okamoto,29.8,B+,12.1,C+,1.5,B-,-1.8,D+
Ke'Bryan Hayes,20.3,C+,,,7.7,B+,0.5,B-
Keibert Ruiz,17.9,C,2.9,D-,0.7,C+,-3.8,D-
Kerry Carpenter,23.7,B-,8.4,D+,-12.5,D-,-1.2,C-
Ketel Marte,23.7,B-,11.9,C+,2.4,B-,0.5,B-
Kevin McGonigle,19.2,C+,17.4,A-,1.6,B-,3.8,A
Kody Clemens,26.2,B,9.4,C-,6.4,B+,0,C+
Konnor Griffin,21.1,C+,8.9,C-,-6.7,D+,9.2,A+
Kyle Higashioka,19.9,C+,11.2,C,-4.3,C-,-1.6,C-
Kyle Isbel,15.4,C,,,3.2,B-,2.9,A-
Kyle Karros,20.2,C+,16.5,B+,1.7,B-,1.1,B
Kyle Manzardo,21.9,C+,11.1,C,-0.7,C+,-1.6,C-
Kyle Schwarber,33.9,A,14.5,B,-1.3,C,-1.5,C-
Kyle Stowers,27.3,B,11.9,C+,2.5,B-,-0.4,C+
Kyle Teel,,,,,-7.4,D+,1.2,B
Kyle Tucker,16,C,19.1,A-,-2.9,C,1.4,B
Lane Thomas,18.8,C+,18.4,A-,-7.1,D+,0.1,B-
Lars Nootbaar,25.1,B,,,6,B,-1.2,C-
Lawrence Butler,21,C+,19.5,A,-9.7,D,-1,C
Lenyn Sosa,17.5,C,,,-2.1,C,0.1,B-
Leo Jimenez,18,C,,,-12.8,D-,-0.1,C+
Leo Rivas,12.6,C-,,,1.5,B-,2.9,A-
Leody Taveras,15.7,C,14.7,B,-5.5,C-,2.6,A-
Liam Hicks,12.7,C-,11,C,1.1,C+,-3.3,D-
Logan O'Hoppe,21.2,C+,11,C,-12.7,D-,-2.5,D
Lourdes Gurriel,16.1,C,,,-1.7,C,0.6,B-
Luis Arraez,8.5,D,4.2,D,5.5,B,1.9,B+
Luis Campusano,23.2,B-,,,-3,C,-0.1,C+
Luis Garcia,25.6,B,8.2,D+,0.8,C+,-0.3,C+
Luis Rengifo,13.1,C-,12.7,C+,-1.3,C,-1.5,C-
Luis Robert,18.9,C+,,,-0.6,C+,-2.5,D
Luis Torrens,17.2,C,8.3,D+,14.8,A+,-0.5,C+
Luisangel Acuna,18.8,C+,,,-5.1,C-,4.4,A
Luke Keaschall,12.6,C-,15.2,B,-9.7,D,2.3,B+
Luke Raley,29,B+,10.6,C,-8.2,D+,-0.1,C+
MJ Melendez,25,B-,,,1.5,B-,-2.2,D+
Maikel Garcia,17.3,C,15.2,B,10.4,A,0.3,B-
Manny Machado,24.4,B-,11.7,C+,5.1,B,-2.2,D+
Marcell Ozuna,20.9,C+,13.1,B-,0,C+,-1.2,C-
Marcelo Mayer,16.9,C,14.3,B,-1.8,C,0.3,B-
Marcus Semien,17.7,C,13.9,B-,-5.4,C-,0.6,B-
Mark Vientos,21.6,C+,10.6,C,-11.3,D,-1.5,C-
Masataka Yoshida,14.7,C-,7.4,D+,-2.8,C,-0.1,C+
Masyn Winn,14.1,C-,10.9,C,10,A,0.5,B-
Matt Chapman,19,C+,13.7,B-,9.1,A-,-1.9,D+
Matt McLain,19.6,C+,14.9,B,2.4,B-,0.4,B-
Matt Olson,30.4,B+,13.8,B-,6,B,-0.3,C+
Matt Shaw,16.2,C,,,7.2,B+,-0.3,C+
Matt Vierling,15.8,C,7.1,D+,-2.9,C,-0.9,C
Matt Wallner,23.1,B-,,,-14.9,D-,-1.7,D+
Mauricio Dubon,13.9,C-,7.4,D+,10.6,A,-0.6,C
Max Muncy,24.5,B-,13.2,B-,0.3,C+,-1.3,C-
Max Schuemann,,,,,-3.9,C-,2.3,B+
Michael Busch,21.6,C+,15.4,B,4.6,B,-2,D+
Michael Conforto,24.8,B-,,,-4,C-,0.5,B-
Michael Harris,27.4,B,3,D-,8.8,A-,-0.3,C+
Michael Massey,20.2,C+,8.3,D+,9.5,A-,-0.8,C
Mickey Gasper,14.3,C-,,,-4.1,C-,-2.6,D
Mickey Moniak,23.3,B-,7.6,D+,-1.3,C,0.9,B
Miguel Amaya,16.8,C,9.6,C-,3.1,B-,-1.7,D+
Miguel Andujar,17.4,C,4.6,D,-5.6,C-,-1.5,C-
Miguel Rojas,19,C+,,,5.3,B,-2.5,D
Miguel Vargas,28.7,B+,19.5,A,-0.6,C+,0.8,B
Mike Trout,32,A-,18,A-,-7,D+,0.8,B
Mike Yastrzemski,20,C+,11.5,C+,2.9,B-,0.3,B-
Mitch Garver,20.4,C+,,,-7.1,D+,-1,C
Moises Ballesteros,24.3,B-,,,0.3,C+,0,C+
Mookie Betts,20.3,C+,16.7,B+,8.2,B+,-1.6,C-
Munetaka Murakami,35,A,18.6,A-,-0.2,C+,-3,D
Myles Straw,13.1,C-,,,4.3,B,0.8,B
Nasim Nunez,8.2,D,15.1,B,4.8,B,8.5,A+
Nathan Church,18,C,-1.3,D-,1.4,B-,0.2,B-
Nathan Lukes,12.9,C-,8.5,D+,7,B+,-2.2,D+
Nathaniel Lowe,21.2,C+,14.5,B,-10.8,D,-1.4,C-
Nelson Velazquez,,,,,-7.7,D+,-0.6,C
Nick Allen,11.2,D+,,,3,B-,2,B+
Nick Castellanos,20,C+,,,-14.9,D-,0.7,B
Nick Fortes,13.6,C-,3.7,D-,-2.3,C,-1.5,C-
Nick Gonzales,12.7,C-,13.5,B-,-2.7,C,-0.4,C+
Nick Kurtz,35.7,A,19.8,A,-1.4,C,-0.1,C+
Nick Loftin,15.7,C,16,B+,-10.3,D,0.2,B-
Nick Yorke,18.5,C,,,,,,
Nicky Lopez,10.7,D+,,,-10.1,D,1.2,B
Nico Hoerner,9.7,D+,6.9,D+,8.7,A-,2.1,B+
Noelvi Marte,18.7,C,,,,,,
Nolan Arenado,15.3,C-,6.6,D,5.6,B,-0.7,C
Nolan Gorman,22.1,C+,12.2,C+,2.7,B-,-2,D+
Nolan Schanuel,11.8,D+,7.8,D+,3.4,B,-1.4,C-
Oneil Cruz,33,A,13.6,B-,-9.7,D,4.9,A
Orlando Arcia,,,,,2.9,B-,-8.7,D-
Oswald Peraza,19.1,C+,11.1,C,2.7,B-,2.6,A-
Otto Lopez,19.8,C+,5.4,D,4.9,B,3.1,A-
Owen Caissie,28.7,B+,11.9,C+,-13,D-,0.5,B-
Ozzie Albies,13.9,C-,10.5,C,-0.2,C+,-1.3,C-
Patrick Bailey,19.5,C+,12.7,C+,12.1,A,-1.4,C-
Paul Goldschmidt,23.8,B-,9.6,C-,6.2,B+,-0.2,C+
Pavin Smith,16.2,C,,,5.7,B,-2.4,D
Pedro Pages,17.9,C,,,5.9,B,0.6,B-
Pete Alonso,28.5,B+,11.9,C+,2.1,B-,-1.2,C-
Pete Crow-Armstrong,24.3,B-,9.6,C-,20.4,A+,3.4,A
Rafael Devers,27.2,B,12.9,B-,0.1,C+,-1,C
Rafael Marchan,13.8,C-,,,15.4,A+,-0.8,C
Ramon Laureano,25.4,B,12,C+,2.2,B-,0.8,B
Ramon Urias,,,,,-0.9,C,-2.5,D
Randal Grichuk,24.9,B-,,,-2.3,C,0.6,B-
Randy Arozarena,21.8,C+,7.5,D+,-4.4,C-,2.2,B+
Rhys Hoskins,24,B-,16.3,B+,-9.4,D,-2.3,D
Richie Palacios,14.1,C-,8.2,D+,-6.9,D+,-0.7,C
Riley Greene,27.8,B+,16.2,B+,0.2,C+,-1.1,C
Rob Refsnyder,18.7,C,,,-2.6,C,-0.6,C
Rodolfo Duran,18.8,C+,,,,,,
Roman Anthony,22.7,B-,,,8.5,A-,1.3,B
Ronald Acuna,26.3,B,19.9,A,-8,D+,0.6,B-
Ronny Mauricio,,,,,-3.7,C-,-0.5,C+
Royce Lewis,24.3,B-,10.4,C,-4.7,C-,2.5,B+
Ryan Jeffers,25.9,B,,,-1,C,-1.5,C-
Ryan Kreidler,20.5,C+,,,3.4,B,-3,D
Ryan McMahon,23.7,B-,11.7,C+,4.5,B,-0.9,C
Ryan O'Hearn,20.9,C+,10.7,C,-5.4,C-,-2.5,D
Ryan Vilade,17.9,C,,,-1.6,C,1.1,B
Ryan Waldschmidt,15.6,C,,,6.1,B+,2.4,B+
Sal Frelick,9.7,D+,10.9,C,1.8,B-,1,B
Sal Stewart,27.1,B,12.2,C+,0.9,C+,-0.1,C+
Salvador Perez,22.7,B-,2.5,D-,-8,D+,-1.5,C-
Sam Antonacci,17.7,C,11.6,C+,-8.2,D+,0.8,B
Samad Taylor,13.7,C-,,,-2.6,C,3.2,A-
Samuel Basallo,27.2,B,6.8,D,-1,C,-1.7,D+
Santiago Espinal,14.3,C-,,,4.6,B,-4.6,D-
Seiya Suzuki,20.6,C+,17.5,A-,8.4,A-,-2.1,D+
Shea Langeliers,28.2,B+,11.5,C+,-0.5,C+,-0.6,C
Shohei Ohtani,32.7,A,13.5,B-,0,C+,0.6,B-
Spencer Horwitz,19.4,C+,11.7,C+,-2.6,C,-1.8,D+
Spencer Jones,,,,,-8,D+,1,B
Spencer Steer,24.3,B-,13.9,B-,-3,C,1.2,B
Spencer Torkelson,26.6,B,16.8,B+,-9.2,D,-1.4,C-
Starling Marte,22.2,C+,,,6.5,B+,-4.5,D-
Steven Kwan,4.7,D-,11.4,C,7.9,B+,0.7,B
Sung-Mun Song,17.4,C,,,,,,
TJ Friedl,13.2,C-,13.3,B-,4,B,2.3,B+
TJ Rumfield,13.8,C-,10.9,C,5.2,B,-2.1,D+
Taylor Trammell,19.4,C+,,,-9.5,D,1.4,B
Taylor Walls,10.6,D+,15.6,B+,1.9,B-,3.1,A-
Taylor Ward,18.2,C,21.5,A+,-0.3,C+,-3.3,D-
Teoscar Hernandez,22.8,B-,15.7,B+,-1.4,C,0.4,B-
Thomas Saggese,21.3,C+,,,0.9,C+,-3.2,D-
Tim Tawa,17.8,C,,,5.4,B,-4.6,D-
Tommy Edman,16.1,C,,,0.8,C+,0.5,B-
Tommy Troy,20.8,C+,,,3,B-,-0.4,C+
Travis Bazzana,17.2,C,15.7,B+,-5.2,C-,3.2,A-
Trea Turner,17.3,C,12.2,C+,-6.3,D+,3.2,A-
Trent Grisham,24.5,B-,23.2,A+,-4.8,C-,-0.5,C+
Trevor Larnach,17.6,C,12.3,C+,-5,C-,-0.6,C
Trevor Story,17.3,C,,,-6.7,D+,3.1,A-
Tristan Gray,17.7,C,,,-9.5,D,0,C+
Tristan Peters,15.4,C,12.2,C+,7.7,B+,1.2,B
Troy Johnston,14.3,C-,9.1,C-,-2.9,C,-2.5,D
Ty France,24.8,B-,9.8,C-,12.3,A,-2.7,D
Tyler Callihan,18.1,C,,,,,,
Tyler Freeman,13.5,C-,10.7,C,-12.5,D-,-2,D+
Tyler Heineman,7.2,D,,,16.5,A+,-0.6,C
Tyler O'Neill,22,C+,15.5,B,-5.9,D+,-0.1,C+
Tyler Soderstrom,23.6,B-,16.4,B+,-2.4,C,-1.3,C-
Tyler Stephenson,22.8,B-,24.4,A+,-2,C,-2.4,D
Tyrone Taylor,18.9,C+,,,-0.9,C,-2.2,D+
Vaughn Grissom,20,C+,10.3,C,-4.4,C-,-0.4,C+
Victor Caratini,20.5,C+,10.1,C,-5.7,C-,-2.8,D
Victor Mesa,22.4,B-,,,10.7,A,-1.8,D+
Victor Robles,12.7,C-,,,2.5,B-,2.2,B+
Victor Scott,13.2,C-,20.6,A,2.5,B-,1.7,B+
Vinnie Pasquantino,20.1,C+,12.7,C+,-0.4,C+,0,C+
Vladimir Guerrero,18.9,C+,12.4,C+,6.2,B+,0,C+
