season,team,rot_season,rot_oct,rot_top2,rot_depth
2026,144,48.45204403793902,46.84032992653171,55.814456857329745,19.44352565280584
2016,111,49.87119731746559,45.57611972656946,48.44844227811491,2.367785546862649
2015,118,58.56585563043648,57.12610898658652,52.14041046891079,-6.372779393224604
2023,146,55.06901314095113,53.87609067269996,49.838319527943696,-7.240259909905788
2015,138,44.02195507729609,45.60129149144047,38.540092853203845,-15.578311190082488
2018,133,48.077042796976244,46.60728520939868,50.51377541095224,9.229341513474871
2019,133,47.575078805653284,47.89808932750581,44.29461830813034,-11.160702535157313
2026,109,54.655761984272544,53.472708865018525,51.421537285010466,-5.188280901305568
2025,116,55.48354399228338,55.70503726128137,60.75694614320542,12.506565431196044
2024,116,51.00711743225697,51.26180341157165,52.607107538989496,2.6699631638908485
2025,141,45.14491045493326,45.27842008306651,46.517499973751356,0.7661101258773328
2024,117,51.47394270140411,51.27967737909831,45.32863760949179,-13.469285942941447
2020,135,51.509633866868676,51.11277498210524,54.24013016168168,5.81114014528832
2021,158,53.37803304164392,59.39737526439443,62.64583668306549,10.58701920446115
2020,158,50.669617101449326,46.36709070927685,54.33181420851163,17.13482727072548
2022,147,55.183414293344796,54.42586829088213,57.81276826697707,8.473729271687588
2021,119,56.48651228663392,59.2169091843388,57.100424165789065,-4.937976093001353
2020,119,64.92680047288536,63.99243946244783,68.51984504712564,10.492282737095245
2023,110,47.785645639670356,48.48898276827595,45.81271135418601,-10.22328667983713
2016,110,58.222160597586594,55.116236717245165,51.072339666995205,-9.4642878400306
2026,145,51.996376198907996,52.17271529187449,53.81786217750325,6.915161442321612
2015,119,54.66948178255129,56.9179171486006,55.2021066971329,-2.9442676000372145
2021,139,51.71103353450574,48.88483116906992,57.95292396690013,19.21403322696211
2020,139,56.19360526989178,56.47334509829823,71.2852340210895,29.840220180763154
2026,112,50.520924071028105,51.299226869981794,50.962760861627245,-0.5359673633262361
2017,147,50.75668485171054,52.475620441840896,63.10931639508513,24.09199051009937
2024,121,46.01244667071217,44.50100184658249,41.326732518357815,-6.405142817999888
2018,112,44.91085507260496,46.45543132397774,46.34076909421737,-1.1040329183515851
2020,142,53.48984386684318,53.59683528143877,54.399434183836874,2.219673184121966
