season,team,lineup_xwoba,lu_oaa,rot_top2,lu_kpct
2022,139,0.307028901372207,1.2152777777777777,57.48159101542156,0.2181689088562008
2023,139,0.3189975012964417,-1.2735042735042736,59.634542419668605,0.2222781581937088
2023,142,0.3289371877852293,-0.4682539682539682,57.15114980323018,0.2519797237992306
2017,115,0.3179262602314764,2.777777777777778,47.53627997694933,0.2093098344327807
2026,140,0.3153238381266778,3.079365079365079,63.36271607623027,0.2272835304030682
2022,135,0.3231225655276988,1.1481481481481484,51.91114926176698,0.1998749934298734
2026,117,0.3148226859631842,-0.0396825396825397,52.6469650573145,0.21084910099745738
2017,142,0.3224044149813505,5.902777777777777,36.369619016807775,0.2037367200704184
2018,117,0.3156616219236797,2.888888888888889,54.63757707581132,0.1923863945135562
2023,158,0.3174666426407669,3.051851851851852,55.93122249473504,0.2166751364058131
2019,117,0.3411002356023651,2.301587301587302,71.2918716584413,0.188191275821329
2021,147,0.3376473817367227,-0.214814814814815,60.6991382191147,0.2346127118499641
2020,147,0.3408351832290689,-0.7581699346405228,58.31570348078655,0.2240096927737716
2022,119,0.3307527252136825,0.5686274509803921,50.3092066052737,0.221265285142145
2023,119,0.3387272326790292,-1.0833333333333333,56.977825872026735,0.2170911512050092
2021,111,0.3433170996986727,-4.4523809523809526,52.24863080769633,0.2164854520319548
2017,114,0.3361144002834609,2.2296296296296285,52.96694065225774,0.190419383907803
2026,141,0.3046160007917949,1.903703703703704,64.45106250928154,0.1923281904099723
2016,114,0.3247974265691878,1.733333333333333,54.921636959416105,0.1974512434719965
2022,114,0.3095265132034091,2.631944444444444,39.33904720198996,0.1828063141672548
2022,143,0.3286577489044219,-2.6319444444444446,54.96560469898767,0.2279070880046853
2023,143,0.328109979791536,-0.0518518518518521,63.15596290486221,0.2355266155945683
2022,138,0.3214014566098438,2.2142857142857144,38.96632878713741,0.1969972926220701
2025,113,0.3076181505114756,0.9791666666666664,45.34600895215252,0.228193486269962
2019,120,0.3345629113426741,3.601307189542484,47.54046931696802,0.2074141579792906
2024,144,0.3270041622920051,0.6000000000000003,53.52013965212976,0.2252277177018833
2018,158,0.3267417521101236,2.3925925925925924,36.235456011054815,0.2119753588529911
2022,117,0.3301276936486755,1.948148148148148,53.240881141993455,0.193195245732599
2023,117,0.3374338703146991,-0.6269841269841272,50.66207909101266,0.1992547925657208
2019,158,0.3200987779295156,0.6041666666666665,42.19161087118875,0.2413689692737775
2026,135,0.3237782841956914,2.451851851851852,51.56608238634079,0.2125955843436263
2023,140,0.3397859243617665,4.177777777777778,51.70045572476645,0.2212359408029137
2016,137,0.3228087993561956,0.1180555555555553,61.986988681641975,0.1800091090574044
2018,119,0.3343922542562149,-0.837037037037037,42.086920429868805,0.2110390902475576
2019,119,0.3339229595154075,0.3253968253968253,53.77035819874634,0.2248772411093469
2016,121,0.315447351315058,-1.7638888888888888,61.42978351407746,0.205059905809146
