season,team,lineup_xwoba,lineup_woba,n_games,core9
2025,113,0.3076181505114756,0.3140997749268183,16,TJ Friedl;Elly De La Cruz;Noelvi Marte;Gavin Lux;Matt McLain;Spencer Steer;Ke'Bryan Hayes;Will Benson;Tyler Stephenson
2019,120,0.3345629113426741,0.33682509020185836,17,Trea Turner;Adam Eaton;Juan Soto;Anthony Rendon;Victor Robles;Asdrúbal Cabrera;Yan Gomes;Howie Kendrick;Ryan Zimmerman
2024,144,0.32700416229200513,0.3180091112012058,15,Michael Harris;Marcell Ozuna;Jorge Soler;Matt Olson;Gio Urshela;Orlando Arcia;Ramón Laureano;Ozzie Albies;Sean Murphy
2018,158,0.3267417521101236,0.3300087320033018,15,Christian Yelich;Jesús Aguilar;Mike Moustakas;Lorenzo Cain;Travis Shaw;Orlando Arcia;Ryan Braun;Erik Kratz;Curtis Granderson
2022,117,0.3301276936486755,0.32823552121402344,15,Alex Bregman;Kyle Tucker;Jeremy Peña;Yordan Alvarez;Jose Altuve;Yuli Gurriel;Trey Mancini;Aledmys Díaz;Chas McCormick
2023,117,0.3374338703146991,0.33964459278883685,14,Jose Altuve;Alex Bregman;José Abreu;Yordan Alvarez;Kyle Tucker;Jeremy Peña;Chas McCormick;Martín Maldonado;Mauricio Dubón
2019,158,0.3200987779295156,0.3230240225055446,16,Yasmani Grandal;Trent Grisham;Mike Moustakas;Eric Thames;Lorenzo Cain;Keston Hiura;Orlando Arcia;Ryan Braun;Cory Spangenberg
2026,135,0.3237782841956914,0.3252117829241775,15,Fernando Tatis Jr.;Manny Machado;Jackson Merrill;Jake Cronenworth;Xander Bogaerts;Dustin Harris;Ty France;Luis Campusano;Samad Taylor
2023,140,0.3397859243617665,0.344489249433936,15,Marcus Semien;Corey Seager;Nathaniel Lowe;Leody Taveras;Jonah Heim;Josh Jung;Adolis García;Mitch Garver;Evan Carter
2016,137,0.32280879935619566,0.3234705001306887,16,Hunter Pence;Buster Posey;Brandon Belt;Ángel Pagán;Brandon Crawford;Joe Panik;Denard Span;Eduardo Núñez;Gorkys Hernández
2018,119,0.33439225425621494,0.3416729216776228,15,Justin Turner;Manny Machado;Yasmani Grandal;Enrique Hernández;Joc Pederson;Cody Bellinger;Yasiel Puig;Chris Taylor;Max Muncy
2019,119,0.3339229595154075,0.3372931440957042,14,Cody Bellinger;Max Muncy;Corey Seager;AJ Pollock;Gavin Lux;Joc Pederson;Chris Taylor;Will Smith;Enrique Hernández
2016,121,0.315447351315058,0.3221522352766589,16,Asdrúbal Cabrera;Yoenis Cespedes;José Reyes;Curtis Granderson;T.J. Rivera;Jay Bruce;James Loney;René Rivera;Travis d'Arnaud
